,PhraseNo,Phrase,IsHateSpeech,Tokens
18,41,"['dakuna', 'menessuu', 'harema', 'arthmarthakameeeeeeeeeeee', '.']",1,"['dakuna', 'menessuu', 'harema', 'arthmarthakameeeeeeeeeeee']"
19,42,"['sinhalayo', 'kuhakayo']",1,"['sinhalayo', 'kuhakayo']"
20,43,"['අපොයි', '2020', 'ජනාධිපති', 'නෙද', 'හුත්තෝ', 'උබ', 'උබ', 'හොදයි', 'නගරසභාවේ', 'toilet', 'සුද්ද', 'කරන්න.හිකුණ්ඨික', 'සක්කිලියා']",1,"['2020', 'toilet']"
21,45,"['Lankawe', 'wage', 'political', 'majarayo', 'innakam', 'police', 'quality', 'eka', 'wadi', 'karanna', 'baha', '...', '..']",1,"['lankawe', 'wage', 'political', 'majarayo', 'innakam', 'police', 'quality', 'eka', 'wadi', 'karanna', 'baha']"
22,47,"['Lanka', 'we', 'inne', 'labba', 'bahapu', 'naki', 'police', 'karayo', 'ne..bulath', 'wite', 'kagena', '...', 'ahisaka', 'bike', 'ekak', 'nawath', 'wala', 'ugen', 'rs', '.', '500', 'aragena', 'lami', 'ta', 'ganun', 'ta', 'kanna', 'dena', '.']",1,"['lanka', 'we', 'inne', 'labba', 'bahapu', 'naki', 'police', 'karayo', 'ne bulath', 'wite', 'kagena', 'ahisaka', 'bike', 'ekak', 'nawath', 'wala', 'ugen', 'rs', '500', 'aragena', 'lami', 'ta', 'ganun', 'ta', 'kanna', 'dena']"
23,48,"['kasippu', 'karayagen', 'ganja', 'karayagen', 'keeyak', 'hari', 'aragena', '...', 'unge', 'bothalayata..yata', 'una..kisima', 'puhunuwak', 'nathi', 'gon', 'harak', 'tikak', 'ne', '...', 'police', 'office', 'ekak', 'paththata', 'nikamata', 'gihilla', 'blapalla', '...', 'ali', 'wrdi', 'walatath', 'duwana', 'un', 'inne', '...', 'gam', 'walin', 'apu', 'rilau', '...']",1,"['kasippu', 'karayagen', 'ganja', 'karayagen', 'keeyak', 'hari', 'aragena', 'unge', 'bothalayata yata', 'una kisima', 'puhunuwak', 'nathi', 'gon', 'harak', 'tikak', 'ne', 'police', 'office', 'ekak', 'paththata', 'nikamata', 'gihilla', 'blapalla', 'ali', 'wrdi', 'walatath', 'duwana', 'un', 'inne', 'gam', 'walin', 'apu', 'rilau']"
24,50,"['Ape', 'polisiya', 'atule', 'tmai', 'wadiyenma', 'horu', 'inne']",1,"['ape', 'polisiya', 'atule', 'tmai', 'wadiyenma', 'horu', 'inne']"
25,51,"['arawa', 'kanno', 'echchari', 'danne', 'policeya', 'gena']",1,"['arawa', 'kanno', 'echchari', 'danne', 'policeya', 'gena']"
26,53,"['තුවක්කු', 'පුහුනුව', 'දෙන්නෙ', 'training', 'එකේ', 'විතරයි..', 'ඉලක්කයක්', 'අරන්', 'වෙඩි', 'තියන්න', 'කී', 'දෙනාද', 'දක්ෂ', '.', 'නාකි', 'පප්පල', 'ටික', 'ගහල', 'පන්නන්න', 'ඕන', 'ජරාව', 'කකා', 'ඉන්නන්', 'වාලේ', 'ඉන්නවට.අනිත්', 'එක', 'සාමාන්\u200dය', 'මිනිස්සු', 'ඉන්න', 'තත්වයකදි', 'මේ', 'විදියට', 'වෙඩි', 'තැබීම', 'අනුමත', 'කරන්න', 'බැ', '.']",1,['training']
27,54,"['පාතාල', 'කාරයන්ට', 'මනුස්සකමක්', 'නැනේ.මුන්', 'බයික්', 'වලට', 'නගිනකන්', 'ඉවසන්න', 'තිබුනේ.නැත්තන්', 'තත්වය', 'බලල', 'stf', 'ගෙනන්න', 'තිබුනේ', '.', 'කොහේද', 'ලොක්කො', 'දෙන', 'අණ', 'නේ..', 'අපරාදෙ', 'වටින', 'ජීවිතයක්', '.']",1,['stf']
28,59,"['මන්නම්', 'කියන්නෙ', 'පොලිසියෙ', 'උන්නැහැලා', 'ටිකටත්', 'stf', 'පුහුණුවක්', 'අවශයයි..මොකද', 'හොරාට', 'පන්න', 'ගන්න', 'බැ', '...', 'මොලෙ', 'පාවිච්චි', 'කරලා', 'හොරා', 'කොටු', 'කරගන්නෙ', 'නැ', '...', 'ගොන්', 'වැඩ', 'ගොඩක්', 'තියෙනව..']",1,['stf']
29,64,"['ratakata', 'giya', 'kalak.vahane', 'dora', 'arinna', 'ekek', 'help', 'kare', 'ne.ara', 'manussayata.me', 'aparade', 'karapu', 'un', 'tama', 'nidalle.rate', 'maha', 'un', 'ponnayo', 'ekai', 'me', 'serama', 'dewal.okunat', 'chance', 'denna', 'epa', 'tatwat', '.']",1,"['ratakata', 'giya', 'kalak vahane', 'dora', 'arinna', 'ekek', 'help', 'kare', 'ne ara', 'manussayata me', 'aparade', 'karapu', 'un', 'tama', 'nidalle rate', 'maha', 'un', 'ponnayo', 'ekai', 'me', 'serama', 'dewal okunat', 'chance', 'denna', 'epa', 'tatwat']"
30,65,"['Pathali', 'para', 'haththa', 'akekwath', 'ethuru', 'karanna', 'epa.okunge', 'daruwanta', 'edala', 'hena', 'gahanawa', 'para', 'ballo', '.']",1,"['pathali', 'para', 'haththa', 'akekwath', 'ethuru', 'karanna', 'epa okunge', 'daruwanta', 'edala', 'hena', 'gahanawa', 'para', 'ballo']"
31,67,"['Ashi', 'Hashi', 'ඔවාට', 'දකුණේ', 'එකෙක්', 'ඒක', 'කෙලින්', 'කියන්න', 'වෙන', 'වෙන', 'සීන්', 'ගැන', 'කියල', 'මඩ', 'ගහන්නෙ', 'නැතුව']",1,"['ashi', 'hashi']"
32,68,"['Ahama.kiyana.apa.natara.kiyann.apa.gama.policya.wada.waradagan.tiyana.nisai.minusu.ahka.baluwa.nikaruna.kollo.maranawa.horu.maragann.ba.bayta.akada.yahpalan.ahinsa.amm.adanwa.ada.puta.batuwa.oya', ',', 'sakilli.bollonga.oluwata.waditiyala.danna.ona', '.']",1,"['ahama kiyana apa natara kiyann apa gama policya wada waradagan tiyana nisai minusu ahka baluwa nikaruna kollo maranawa horu maragann ba bayta akada yahpalan ahinsa amm adanwa ada puta batuwa oya', 'sakilli bollonga oluwata waditiyala danna ona']"
33,71,"['Me', 'horu', 'training', 'une', 'koheda', '?']",1,"['me', 'horu', 'training', 'une', 'koheda']"
34,72,"['Thattayaa', 'mokek', 'daa', 'uuu', 'karikii', 'karikii', 'innee', 'pissek', 'wagee', '...', 'udauu', 'karannee', 'nathywaa', '...', 'mona', 'pissek', 'daa', 'mandaa..']",1,"['thattayaa', 'mokek', 'daa', 'uuu', 'karikii', 'karikii', 'innee', 'pissek', 'wagee', 'udauu', 'karannee', 'nathywaa', 'mona', 'pissek', 'daa', 'mandaa']"
35,73,"['Maraladanna', 'thiyenne', 'okunwa.mathara', 'un', 'dakune', 'kiyala', 'kehegahuwata', 'bayagullo', 'inne', '.']",1,"['maraladanna', 'thiyenne', 'okunwa mathara', 'un', 'dakune', 'kiyala', 'kehegahuwata', 'bayagullo', 'inne']"
36,75,"['Oya', 'jatika', 'arakahawa', 'sambanda', 'inna', 'uda', 'pena', 'pena', 'kata', 'meta', 'dodawana', 'amatio', '..dipan', 'polisiata', 'hoda', 'wepan', 'mesinngan..arun', 'ottu', 'sellam', 'karanawa', 'maha', 'pare', 'hat', 'denek', 'duwanawa..lejjai..dipan', 'oya', 'pattama', '.', 'Patalema', '.', 'Tawa', 'ekekuta', 'palayan', 'paw', 'nodi', 'gedara', '...', '..']",1,"['oya', 'jatika', 'arakahawa', 'sambanda', 'inna', 'uda', 'pena', 'pena', 'kata', 'meta', 'dodawana', 'amatio', 'dipan', 'polisiata', 'hoda', 'wepan', 'mesinngan arun', 'ottu', 'sellam', 'karanawa', 'maha', 'pare', 'hat', 'denek', 'duwanawa lejjai dipan', 'oya', 'pattama', 'patalema', 'tawa', 'ekekuta', 'palayan', 'paw', 'nodi', 'gedara']"
37,76,"['Lankawe', 'inna', 'samahara', 'pirimi', 'napunsakayo', 'ara', 'manussayata', 'wahane', 'dora', 'arala', 'dennawat', 'kenek', 'enne', 'ne', 'mun', 'pirimida', 'ane', 'e', 'manussaya', 'veerayek', 'attatama', '..']",1,"['lankawe', 'inna', 'samahara', 'pirimi', 'napunsakayo', 'ara', 'manussayata', 'wahane', 'dora', 'arala', 'dennawat', 'kenek', 'enne', 'ne', 'mun', 'pirimida', 'ane', 'e', 'manussaya', 'veerayek', 'attatama']"
38,78,"['Meyata', 'aydayak', 'tibbanam', 'aniwa', 'dennekwath', 'bawanawa', 'aprade', '...', '.']",1,"['meyata', 'aydayak', 'tibbanam', 'aniwa', 'dennekwath', 'bawanawa', 'aprade']"
39,80,"['Hospital', 'inna', 'ewun', 'tikath', 'wada', 'deela', 'maranda', 'thiyenne']",1,"['hospital', 'inna', 'ewun', 'tikath', 'wada', 'deela', 'maranda', 'thiyenne']"
40,84,"['Shit', 'ara', 'ekek', 'dakalat', 'dakke', 'na', 'wage', 'yanawa..']",1,"['shit', 'ara', 'ekek', 'dakalat', 'dakke', 'na', 'wage', 'yanawa']"
41,85,"['Waha', 'palane', 'raga', 'tamai', 'oya']",1,"['waha', 'palane', 'raga', 'tamai', 'oya']"
42,87,"['ලංකාවේ', 'hema', 'tanama', 'oya', 'wage', 'tamai', 'R.D.A', 'නිලධාරීන්', 'owa', 'දකින්නේ', 'nati', 'එක', 'හරිම', 'කනගාටුදායක', '(', 'අපෙන්', 'බඳු', 'ගහන', 'සල්ලිවලින්', '.', 'කරන', 'අපරාධ', 'Henaghanawa', 'munta', 'tu', ')']",1,"['hema', 'tanama', 'oya', 'wage', 'tamai', 'r d a', 'owa', 'nati', 'henaghanawa', 'munta', 'tu']"
43,88,"['Ape', 'peththeth', 'oya', 'wede', 'mai', 'කරන්නේ', '.මහින්ද', 'මහත්තයා', 'නැතිකම', 'දැනෙනවා', '.hitiyanam', 'අපිත්', 'ගොඩ']",1,"['ape', 'peththeth', 'oya', 'wede', 'mai', 'hitiyanam']"
44,91,"['mewata', 'loku', 'baladarin', 'waga', 'kiyanna', 'ona', 'mun', 'okkoma', 'ekai', 'mahajana', 'mudal', 'nasthi', 'karana', 'kalakanni', 'balu', 'heththa']",1,"['mewata', 'loku', 'baladarin', 'waga', 'kiyanna', 'ona', 'mun', 'okkoma', 'ekai', 'mahajana', 'mudal', 'nasthi', 'karana', 'kalakanni', 'balu', 'heththa']"
45,94,"['akke', 'aewa', 'loku', 'unge', 'weradi']",1,"['akke', 'aewa', 'loku', 'unge', 'weradi']"
46,95,"['mun', 'wage', 'kalakanni', 'innakan', 'ratawal', 'diunukarana', 'be']",1,"['mun', 'wage', 'kalakanni', 'innakan', 'ratawal', 'diunukarana', 'be']"
47,97,"['ඒත්', 'උඹ', 'අර', 'හොටු', 'පෙරං', 'අඬන', 'හෙලු', 'කෙල්ලොංගෙ', 'videosui', 'අනික්', 'ලබ්බවල්', 'වලට', 'වඩා', 'මේ', 'කරපු', 'වැඩේනම්', 'great', 'බං', '...']",1,"['videosui', 'great']"
48,98,"['Api', 'thathala', 'nathuwa', 'duk', 'wenwa', 'me', 'kalaknni', 'thaththala', 'idala', 'salakanne']",1,"['api', 'thathala', 'nathuwa', 'duk', 'wenwa', 'me', 'kalaknni', 'thaththala', 'idala', 'salakanne']"
49,100,"['thopi', 'wage', 'lamainta', 'me', 'athmedi', 'hena', 'wadina', 'ona']",1,"['thopi', 'wage', 'lamainta', 'me', 'athmedi', 'hena', 'wadina', 'ona']"
50,101,"['උගෙ', 'අප්පගෙ', 'නීතියක්නෙ', 'යකො', 'එක', 'අර', 'රංගෙ', 'බන්ඩාරගෙ', 'පුතා', '3', 'පාරක්', 'වාහනෙ', 'හප්පලා', 'එක', 'මිනිහෙක්', 'මරලා', 'පවුලක්', 'අබ්බගාතයො', 'කරා', 'කො', 'නිතිය', 'මෙපාර', 'ගෙයක්', 'කුඩු', 'කරලා', 'හොදටම', 'බීලා', 'වාහනෙ', 'ඇතුලෙ', 'කඩු', 'පොලු', 'තියෙද්දිත්', 'කොහොමද', 'යකො', 'ඌට', 'ඇප', 'දෙන්නෙ']",1,['3']
51,102,"['NGO', 'වලින්ද', 'එතකොට', 'ලංකාවෙ', 'නිතිය', 'ක්රියාත්මක', 'කරන්නෙ', 'නොදකිං', 'කලකිරෙනවා', 'මෙවා', 'දැක්කම', 'මොනද', 'මෙ', 'අපෙ', 'රටට', 'වෙන්නෙ']",1,['ngo']
52,103,"['Henama', 'gahapiya', 'okita.NGO', 'karayanta', 'puka', 'dipan', 'thawath', 'wesi.tho', 'marunu', 'data', 'pansukule', 'denneth', 'අපේ', 'හාමුදුරුවෝ', 'mthaka', 'thiya', 'ganin.thota', 'sapa', 'wenawa.shinhalaya', 'gana', 'ktha', 'krapu', 'අපේ', 'හාමුදුරුවන්ට', 'මෙහෙම', 'කරාට', '.']",1,"['henama', 'gahapiya', 'okita ngo', 'karayanta', 'puka', 'dipan', 'thawath', 'wesi tho', 'marunu', 'data', 'pansukule', 'denneth', 'mthaka', 'thiya', 'ganin thota', 'sapa', 'wenawa shinhalaya', 'gana', 'ktha', 'krapu']"
53,104,"['Mewata', 'katha', 'karanna', 'wachana', 'ne..hithe', 'wairaya', 'athi', 'karanawata', 'wada', '...', 'wadath', 'hidama', 'de', 'munta', 'swabadahama', 'thulin', 'lebena', 'දඬුවම', 'diha', 'nihathamaniwa', 'balasitimai', '...', '..sandya', 'kiyana', 'wesa', 'genita', 'hidata', 'ninda', 'yanawa', 'athi', 'den']",1,"['mewata', 'katha', 'karanna', 'wachana', 'ne hithe', 'wairaya', 'athi', 'karanawata', 'wada', 'wadath', 'hidama', 'de', 'munta', 'swabadahama', 'thulin', 'lebena', 'diha', 'nihathamaniwa', 'balasitimai', 'sandya', 'kiyana', 'wesa', 'genita', 'hidata', 'ninda', 'yanawa', 'athi', 'den']"
54,105,"['Gon', 'genita', 'saapa', 'වේවා', '...', '.me', 'athmedima', 'palisan', 'දේවා', 'හාමුදුරුවෝ', 'namak', 'hireta', 'yeuwata..']",1,"['gon', 'genita', 'saapa', 'me', 'athmedima', 'palisan', 'namak', 'hireta', 'yeuwata']"
55,106,"['Hamudurowo', 'kiwe', 'aththak..ube', 'miniha', 'KOtiyek..LTTE', 'eken', 'salli', 'gaththa', 'oththu', 'karayek', '...', 'apith', '2020', 'passe', 'me', 'kalakanni', 'anduwa', 'gedara', 'yawala', 'sahimakata', 'path', 'wenawa']",1,"['hamudurowo', 'kiwe', 'aththak ube', 'miniha', 'kotiyek ltte', 'eken', 'salli', 'gaththa', 'oththu', 'karayek', 'apith', '2020', 'passe', 'me', 'kalakanni', 'anduwa', 'gedara', 'yawala', 'sahimakata', 'path', 'wenawa']"
56,107,"['Oyage', 'thawakalika', 'sathuta', 'uparima', 'winda', 'ganna', 'okata', 'windawanna', 'weddi', 'daraganna', 'bari', 'wei']",1,"['oyage', 'thawakalika', 'sathuta', 'uparima', 'winda', 'ganna', 'okata', 'windawanna', 'weddi', 'daraganna', 'bari', 'wei']"
57,111,"['Cari', 'wesi..', 'Me', 'cari', 'wesige', 'puke', 'arinna', 'one', 'miriskudu', 'daala', 'balu', 'wesita', '.', 'Katu', 'kohila', 'alayak', 'bessuwanam', 'kakul', '2ka', 'depeththata', 'karala', 'huththa', 'athulata', 'me', 'huththita', 'mita', 'wada', 'sathutak', 'lebei', '.']",1,"['cari', 'wesi', 'me', 'cari', 'wesige', 'puke', 'arinna', 'one', 'miriskudu', 'daala', 'balu', 'wesita', 'katu', 'kohila', 'alayak', 'bessuwanam', 'kakul', '2ka', 'depeththata', 'karala', 'huththa', 'athulata', 'me', 'huththita', 'mita', 'wada', 'sathutak', 'lebei']"
58,113,"['Tho', 'ganu', 'jatiyatama', 'nindawak', 'lake', 'wadi', 'dawasak', 'Yamaha', 'thota', 'sapa', 'wenawamai']",1,"['tho', 'ganu', 'jatiyatama', 'nindawak', 'lake', 'wadi', 'dawasak', 'yamaha', 'thota', 'sapa', 'wenawamai']"
59,116,"['Meki', 'lankawe', 'janadi', 'pathinitakda', 'budu', 'dahama', 'winasa', 'karana', 'hethiriyak', 'ne']",1,"['meki', 'lankawe', 'janadi', 'pathinitakda', 'budu', 'dahama', 'winasa', 'karana', 'hethiriyak', 'ne']"
60,117,"['Podi', 'daruwo', 'dusanaya', 'karala', 'maranawa', 'ewata', 'mokuth', 'na', 'ane', 'pau', 'apahasa', 'neme', 'karanna', 'thibbe', 'kumarihamita', 'bella', 'mirikala', 'maranna']",1,"['podi', 'daruwo', 'dusanaya', 'karala', 'maranawa', 'ewata', 'mokuth', 'na', 'ane', 'pau', 'apahasa', 'neme', 'karanna', 'thibbe', 'kumarihamita', 'bella', 'mirikala', 'maranna']"
61,118,"['Tigae', 'miha', 'marapuuna', 'hiyanna', 'amruwak', 'na', 'katin', 'kiyapu', 'wacanata', 'uda', 'painawa', 'ubda', 'kada', 'hari', 'dittadamna', 'wadaniya', 'karumae', 'padisan', 'danawamai', 'budu', 'ciwarayanata', 'nigaru', 'kirimata']",1,"['tigae', 'miha', 'marapuuna', 'hiyanna', 'amruwak', 'na', 'katin', 'kiyapu', 'wacanata', 'uda', 'painawa', 'ubda', 'kada', 'hari', 'dittadamna', 'wadaniya', 'karumae', 'padisan', 'danawamai', 'budu', 'ciwarayanata', 'nigaru', 'kirimata']"
62,119,"['Oita', 'wada', 'hinsa', 'appa', 'rata', 'wanawa', 'podi', 'daruwo', 'antha', 'karanawa', '.apra', 'karayo', 'koha', 'baluwah', 'ma', 'gani', 'matharamma', 'sundara', 'wasthuwakda.balla', 'giya', 'ratak.apa', 'buddha', 'cjiwaraya', 'gana', 'harima', 'dukai', '.']",1,"['oita', 'wada', 'hinsa', 'appa', 'rata', 'wanawa', 'podi', 'daruwo', 'antha', 'karanawa', 'apra', 'karayo', 'koha', 'baluwah', 'ma', 'gani', 'matharamma', 'sundara', 'wasthuwakda balla', 'giya', 'ratak apa', 'buddha', 'cjiwaraya', 'gana', 'harima', 'dukai']"
63,120,"['To', 'wage', 'balu', 'wesiyek', 'wadapu', 'toge', 'ammage', 'to', 'wadapu', 'tenatath', 'henagahannaona']",1,"['to', 'wage', 'balu', 'wesiyek', 'wadapu', 'toge', 'ammage', 'to', 'wadapu', 'tenatath', 'henagahannaona']"
64,121,"['Kanthawakata', 'hirihara', 'kireema', 'waradei.habai', 'me', 'wage', 'kotiyekuge', 'geniyekuta', 'banna', 'newei', 'maruwath', 'pau', 'na', '.']",1,"['kanthawakata', 'hirihara', 'kireema', 'waradei habai', 'me', 'wage', 'kotiyekuge', 'geniyekuta', 'banna', 'newei', 'maruwath', 'pau', 'na']"
65,122,"['Ape', 'ratata', 'mokadda', 'me', 'wenne.mun', 'alawanna', 'hadamu.mahindata', 'rata', 'barademu.okkoma', 'akathuwemu.me', 'sinhalayage', 'rata']",1,"['ape', 'ratata', 'mokadda', 'me', 'wenne mun', 'alawanna', 'hadamu mahindata', 'rata', 'barademu okkoma', 'akathuwemu me', 'sinhalayage', 'rata']"
66,124,"['Thambiyelta', 'kiyala', 'hukaganna', 'kiyahan', 'keri', 'wesita']",1,"['thambiyelta', 'kiyala', 'hukaganna', 'kiyahan', 'keri', 'wesita']"
67,126,"['Okege', 'sathuta', '.', 'As', 'panapitama', 'padesan', 'denna', 'one']",1,"['okege', 'sathuta', 'as', 'panapitama', 'padesan', 'denna', 'one']"
68,133,"['Patta', 'wesi', 'tota', 'henama', 'gahapan', 'totai', 'toge', 'anduwatai', 'lagadima', 'redi', 'netuwa', 'pare', 'duwanna', 'wei', 'edata', 'toge', 'hinsanayata', 'api', 'gal', 'gahanawa']",1,"['patta', 'wesi', 'tota', 'henama', 'gahapan', 'totai', 'toge', 'anduwatai', 'lagadima', 'redi', 'netuwa', 'pare', 'duwanna', 'wei', 'edata', 'toge', 'hinsanayata', 'api', 'gal', 'gahanawa']"
69,137,"['Tho', 'sathutu', 'unaawagema', 'duk', 'wendath', 'wenawa']",1,"['tho', 'sathutu', 'unaawagema', 'duk', 'wendath', 'wenawa']"
70,138,"['hotai', 'thindu', 'karapu', 'ekatai', 'me', 'rajayatai', 'henama', 'gahapiya']",1,"['hotai', 'thindu', 'karapu', 'ekatai', 'me', 'rajayatai', 'henama', 'gahapiya']"
71,139,"['Kotinge', 'ata', 'deka', 'suppu', 'karapan', 'gihin', 'cari', 'wesi', '.', 'Me', 'wesitanm', 'hodak', 'sidda', 'wenne', 'nehe', '.', 'Hena', 'gahapan']",1,"['kotinge', 'ata', 'deka', 'suppu', 'karapan', 'gihin', 'cari', 'wesi', 'me', 'wesitanm', 'hodak', 'sidda', 'wenne', 'nehe', 'hena', 'gahapan']"
72,141,"['Huththa', 'lokuda', 'danne', 'neeee']",1,"['huththa', 'lokuda', 'danne', 'neeee']"
73,142,"['Usawiyeth', 'desapalana', 'theendu']",1,"['usawiyeth', 'desapalana', 'theendu']"
74,143,"['Balu', 'huttita', 'hana', 'hatama', 'gahapiya']",1,"['balu', 'huttita', 'hana', 'hatama', 'gahapiya']"
75,144,"['Hitan', 'magenguti', 'kanna', 'nethiwa', 'oya', 'unansewa', 'nidahas', 'karapan', 'hodaekaawage']",1,"['hitan', 'magenguti', 'kanna', 'nethiwa', 'oya', 'unansewa', 'nidahas', 'karapan', 'hodaekaawage']"
76,146,"['Karumeta', 'gahala', 'akalata', 'haduna', 'wesiyo']",1,"['karumeta', 'gahala', 'akalata', 'haduna', 'wesiyo']"
