,PhraseNo,Phrase,IsHateSpeech,Tokens
10,17,"['ජයසූරිය', 'mathakada', 'ow', 'ow', 'sanath', 'ජයසූරිය', 'thama', '...', '..eyatath', 'wada', 'KUJITHA', 'wela', 'yannai', 'sangata', 'wenne']",1,"['ජයසූරිය', 'ජයසූරිය']"
11,18,"['රට', 'හදන්න', 'ඕනේ', 'නම්', 'එන්ජීඕ', 'ගැට', 'වලින්', 'මිදී', 'ගෙදරට', 'වී', 'ඉන්න']",1,"['රට', 'හදන්න', 'ඕනේ', 'නම්', 'එන්ජීඕ', 'ගැට', 'වලින්', 'මිදී', 'ගෙදරට', 'වී', 'ඉන්න']"
12,20,"['කියන්න', 'වැඩ', 'හොදනම්', 'හදවතින්ම', 'සපෝර්ට්', 'හැබැයි', 'පොහොට්ටුව', 'samaga', 'නොවී', 'U', 'N', 'p', 'nam', 'නම්', 'හුරේ']",1,"['කියන්න', 'වැඩ', 'හොදනම්', 'හදවතින්ම', 'සපෝර්ට්', 'හැබැයි', 'පොහොට්ටුව', 'නොවී', 'නම්', 'හුරේ']"
13,22,"['රට', 'හදන්න', 'කලින්', 'මිනිසුන්', 'රවටන', 'ප්\u200dරචාරක', 'දැන්විම්', 'වලින්', 'මුදල්', 'හම්බ', 'කරන', 'එක', 'නවත්වා', 'සමාජයට', 'සේවයක්', 'කරන්න', '.']",1,"['රට', 'හදන්න', 'කලින්', 'මිනිසුන්', 'රවටන', 'ප්\u200dරචාරක', 'දැන්විම්', 'වලින්', 'මුදල්', 'හම්බ', 'කරන', 'එක', 'නවත්වා', 'සමාජයට', 'සේවයක්', 'කරන්න']"
14,23,"['ජයසූරියත්', 'ආවෙ..කෝ', 'රට', 'හැදුවද', '?', 'හැදුවද', '?', 'නෑ..නෙ', '...', 'නෑ', 'නෙ', '...', 'ඌ', 'ලමයි', 'හැදුවා']",1,"['ජයසූරියත්', 'ආවෙ..කෝ', 'රට', 'හැදුවද', 'හැදුවද', 'නෑ..නෙ', 'නෑ', 'නෙ', 'ඌ', 'ලමයි', 'හැදුවා']"
15,24,"['ආ', 'එතකොට', 'අපිටත්', 'ඇඩ්', 'එකක', 'ඉන්න', 'පුළුවන්', 'වෙයි', 'නේ..']",1,"['ආ', 'එතකොට', 'අපිටත්', 'ඇඩ්', 'එකක', 'ඉන්න', 'පුළුවන්', 'වෙයි', 'නේ..']"
16,25,"['පොන්නයො', 'රට', 'පලනය', 'කරනකොට', 'ඔහොම', 'තමා.ජිවිතේ', 'අසාවෙන්', 'බලපු', 'එකම', 'දේ', 'ක්\u200dරිකට්', 'එකත්', 'නැති', 'කරා', 'මේ', 'පොන්නයො']",1,"['පොන්නයො', 'රට', 'පලනය', 'කරනකොට', 'ඔහොම', 'තමා.ජිවිතේ', 'අසාවෙන්', 'බලපු', 'එකම', 'දේ', 'ක්\u200dරිකට්', 'එකත්', 'නැති', 'කරා', 'මේ', 'පොන්නයො']"
17,26,"['ඔය', 'කාරනය', 'හරියට', 'විග්\u200dරහ', 'කරන්න', 'ඩුප්ලිකේට්', 'මහමෙව්නාවේ', 'ඩුප්ලිකේට්', 'කල්\u200dයාණ', 'මිතුරන්ට', 'පුලුවන්', 'නම්', 'දිව්\u200dය', 'ලෝක', 'promote', 'කරයි\u200d', 'ද', '?']",1,"['ඔය', 'කාරනය', 'හරියට', 'විග්\u200dරහ', 'කරන්න', 'ඩුප්ලිකේට්', 'මහමෙව්නාවේ', 'ඩුප්ලිකේට්', 'කල්\u200dයාණ', 'මිතුරන්ට', 'පුලුවන්', 'නම්', 'දිව්\u200dය', 'ලෝක', 'කරයි\u200d', 'ද']"
18,27,"['ස්ට්\u200dරයික්', 'කරන', 'ඔක්කොටම', 'ගහන්න', 'ඕන', 'දෝස්තරලාත්', 'ඇතුලු']",1,"['ස්ට්\u200dරයික්', 'කරන', 'ඔක්කොටම', 'ගහන්න', 'ඕන', 'දෝස්තරලාත්', 'ඇතුලු']"
19,29,"['ගිය', 'ආන්ඩුව', 'කාලෙ', 'ඔහොම', 'නැටුවේ', 'නෑ.මුන්ගෙ', 'කොන්ද', 'පන', 'නෑ', '.']",1,"['ගිය', 'ආන්ඩුව', 'කාලෙ', 'ඔහොම', 'නැටුවේ', 'නෑ.මුන්ගෙ', 'කොන්ද', 'පන', 'නෑ']"
20,30,"['ඉතිං', 'බං', 'උබලා', 'පිස්සු', 'නටලා', 'ඊට', 'වඩා', 'පඩි', 'ගන්නෙ', 'ඕක', 'මොකක්ද', '.']",1,"['ඉතිං', 'බං', 'උබලා', 'පිස්සු', 'නටලා', 'ඊට', 'වඩා', 'පඩි', 'ගන්නෙ', 'ඕක', 'මොකක්ද']"
21,31,"['කල්ලතෝනි', 'පකෙක්..']",1,"['කල්ලතෝනි', 'පකෙක්..']"
22,32,"['අැත්තටම', 'හරිම', 'සතුටුයි.එ්', 'මනුස්සකමට.එ්', 'වගේම', 'අරාබියට', 'ගිහින්එන', 'අපේ', 'මුස්ලිමි', 'කාන්තාවන්', 'මුන', 'වහගෙන', 'බිල්ලෝ', 'වගේ', 'එනකොට', 'මේ', 'නෝනා', 'හරිම', 'සුන්දර', 'විදියට', 'අැවිත්', 'ඉන්නවා', '.']",1,"['අැත්තටම', 'හරිම', 'සතුටුයි.එ්', 'මනුස්සකමට.එ්', 'වගේම', 'අරාබියට', 'ගිහින්එන', 'අපේ', 'මුස්ලිමි', 'කාන්තාවන්', 'මුන', 'වහගෙන', 'බිල්ලෝ', 'වගේ', 'එනකොට', 'මේ', 'නෝනා', 'හරිම', 'සුන්දර', 'විදියට', 'අැවිත්', 'ඉන්නවා']"
23,35,"['මේ', 'කැරිවේසිග', 'පුතාල', 'ඉන්නකල්', 'රටට', 'කෙලවෙන', 'එක', 'අහන්නත්', 'දෙයක්ද', 'බන්..කාලකන්නි', 'හැත්ත', '...', 'බල්ලො', 'රටේ', 'ලොක්කො', 'වෙනකොට', 'රට', 'බල්ලට', 'යන', 'එක', 'අහන්නත්', 'දෙයක්ද']",1,"['මේ', 'කැරිවේසිග', 'පුතාල', 'ඉන්නකල්', 'රටට', 'කෙලවෙන', 'එක', 'අහන්නත්', 'දෙයක්ද', 'බන්..කාලකන්නි', 'හැත්ත', 'බල්ලො', 'රටේ', 'ලොක්කො', 'වෙනකොට', 'රට', 'බල්ලට', 'යන', 'එක', 'අහන්නත්', 'දෙයක්ද']"
24,40,"['තොපි', 'වගේ', 'නාහෙන්', 'අඩන', 'කාලකන්නි', 'පොන්නයො', 'නිසා', 'තමයි', 'අපේ', 'සංගීතයට', 'අද', 'කණ', 'කොකා', 'හඩලා', 'තියෙන්නෙ', '...', 'ලැජ්ජයි', 'යකෝ', '...', 'තෝ', 'වගේ', 'එකෙක්', 'ආයෙ', 'මුණ', 'ගැහුනා', 'නම්', 'ඌත්', 'තෝ', 'වගේම', 'අඩයිනෙ', 'දවසක']",1,"['තොපි', 'වගේ', 'නාහෙන්', 'අඩන', 'කාලකන්නි', 'පොන්නයො', 'නිසා', 'තමයි', 'අපේ', 'සංගීතයට', 'අද', 'කණ', 'කොකා', 'හඩලා', 'තියෙන්නෙ', 'ලැජ්ජයි', 'යකෝ', 'තෝ', 'වගේ', 'එකෙක්', 'ආයෙ', 'මුණ', 'ගැහුනා', 'නම්', 'ඌත්', 'තෝ', 'වගේම', 'අඩයිනෙ', 'දවසක']"
25,43,"['අපොයි', '2020', 'ජනාධිපති', 'නෙද', 'හුත්තෝ', 'උබ', 'උබ', 'හොදයි', 'නගරසභාවේ', 'toilet', 'සුද්ද', 'කරන්න.හිකුණ්ඨික', 'සක්කිලියා']",1,"['අපොයි', 'ජනාධිපති', 'නෙද', 'හුත්තෝ', 'උබ', 'උබ', 'හොදයි', 'නගරසභාවේ', 'සුද්ද', 'කරන්න.හිකුණ්ඨික', 'සක්කිලියා']"
26,44,"['මොනව', 'උනත්', 'පොලිසියෙ', 'ඉන්නෙ', 'බල්ලො']",1,"['මොනව', 'උනත්', 'පොලිසියෙ', 'ඉන්නෙ', 'බල්ලො']"
27,46,"['තෝ', 'වගෙ', 'එකෙක්', 'අනේ', 'මන්ද', 'යකෝ', '...', 'වැදගත්', 'දෙයක්', 'කරපිය', '...', '.ගොන්', 'වස්සෙක්', '...', '.ඉදකින්', 'හුත්තො']",1,"['තෝ', 'වගෙ', 'එකෙක්', 'අනේ', 'මන්ද', 'යකෝ', 'වැදගත්', 'දෙයක්', 'කරපිය', '.ගොන්', 'වස්සෙක්', '.ඉදකින්', 'හුත්තො']"
28,49,"['ඇයි', 'යකෝ', 'ලංකාවේ', 'පොලිසිය', ',', 'නිරායුධ', 'මිනිසුන්ට', 'ගහන්නේ', 'එලවා', 'එලවා']",1,"['ඇයි', 'යකෝ', 'ලංකාවේ', 'පොලිසිය', 'නිරායුධ', 'මිනිසුන්ට', 'ගහන්නේ', 'එලවා', 'එලවා']"
29,52,"['පොලිස්සිය', 'තාමත්', 'කැද', 'හැලි', 'වගේ', '.', 'තරැන', 'කොල්ලොන්ට', 'ජීවිතෙන්', 'වන්දි', 'ගෙවන්න', 'වෙන්නෙ', 'නාකි', 'පප්පල', 'බුලත්විටක්', 'කාගෙන', 'අඩි', 'දහයක්', 'දුවා', 'ගන්න', 'බැරි', 'නිසා', '.']",1,"['පොලිස්සිය', 'තාමත්', 'කැද', 'හැලි', 'වගේ', 'තරැන', 'කොල්ලොන්ට', 'ජීවිතෙන්', 'වන්දි', 'ගෙවන්න', 'වෙන්නෙ', 'නාකි', 'පප්පල', 'බුලත්විටක්', 'කාගෙන', 'අඩි', 'දහයක්', 'දුවා', 'ගන්න', 'බැරි', 'නිසා']"
30,53,"['තුවක්කු', 'පුහුනුව', 'දෙන්නෙ', 'training', 'එකේ', 'විතරයි..', 'ඉලක්කයක්', 'අරන්', 'වෙඩි', 'තියන්න', 'කී', 'දෙනාද', 'දක්ෂ', '.', 'නාකි', 'පප්පල', 'ටික', 'ගහල', 'පන්නන්න', 'ඕන', 'ජරාව', 'කකා', 'ඉන්නන්', 'වාලේ', 'ඉන්නවට.අනිත්', 'එක', 'සාමාන්\u200dය', 'මිනිස්සු', 'ඉන්න', 'තත්වයකදි', 'මේ', 'විදියට', 'වෙඩි', 'තැබීම', 'අනුමත', 'කරන්න', 'බැ', '.']",1,"['තුවක්කු', 'පුහුනුව', 'දෙන්නෙ', 'එකේ', 'විතරයි..', 'ඉලක්කයක්', 'අරන්', 'වෙඩි', 'තියන්න', 'කී', 'දෙනාද', 'දක්ෂ', 'නාකි', 'පප්පල', 'ටික', 'ගහල', 'පන්නන්න', 'ඕන', 'ජරාව', 'කකා', 'ඉන්නන්', 'වාලේ', 'ඉන්නවට.අනිත්', 'එක', 'සාමාන්\u200dය', 'මිනිස්සු', 'ඉන්න', 'තත්වයකදි', 'මේ', 'විදියට', 'වෙඩි', 'තැබීම', 'අනුමත', 'කරන්න', 'බැ']"
31,54,"['පාතාල', 'කාරයන්ට', 'මනුස්සකමක්', 'නැනේ.මුන්', 'බයික්', 'වලට', 'නගිනකන්', 'ඉවසන්න', 'තිබුනේ.නැත්තන්', 'තත්වය', 'බලල', 'stf', 'ගෙනන්න', 'තිබුනේ', '.', 'කොහේද', 'ලොක්කො', 'දෙන', 'අණ', 'නේ..', 'අපරාදෙ', 'වටින', 'ජීවිතයක්', '.']",1,"['පාතාල', 'කාරයන්ට', 'මනුස්සකමක්', 'නැනේ.මුන්', 'බයික්', 'වලට', 'නගිනකන්', 'ඉවසන්න', 'තිබුනේ.නැත්තන්', 'තත්වය', 'බලල', 'ගෙනන්න', 'තිබුනේ', 'කොහේද', 'ලොක්කො', 'දෙන', 'අණ', 'නේ..', 'අපරාදෙ', 'වටින', 'ජීවිතයක්']"
32,55,"['.ගිහින්', 'ඔය', 'එකෙක්ටවත්', 'ආපහු', 'මේ', 'ලෝකේ', 'දකින්න', 'ඉඩ', 'තියන්න', 'එපා', '...', 'මුන්ව', 'හිරේ', 'යවන්නනම්', 'එපා..මරලා', 'දානවා', 'මිසක්']",1,"['.ගිහින්', 'ඔය', 'එකෙක්ටවත්', 'ආපහු', 'මේ', 'ලෝකේ', 'දකින්න', 'ඉඩ', 'තියන්න', 'එපා', 'මුන්ව', 'හිරේ', 'යවන්නනම්', 'එපා..මරලා', 'දානවා', 'මිසක්']"
33,56,"['අනේ', 'මෙහෙමත්', 'කුහක', 'මිනිස්සු', '...']",1,"['අනේ', 'මෙහෙමත්', 'කුහක', 'මිනිස්සු']"
34,57,"['මෙතන', 'හොරු', 'හොදට', 'තුවක්කුවලින්', 'වෙඩි', 'තියනවා', '.', 'පොලිසිය', 'අත', 'වන', 'වන', 'ඇවිත්', 'හොරුන්ගෙන්', 'වෙඩි', 'කනවා', 'ගුටි', 'කනවා', '.']",1,"['මෙතන', 'හොරු', 'හොදට', 'තුවක්කුවලින්', 'වෙඩි', 'තියනවා', 'පොලිසිය', 'අත', 'වන', 'වන', 'ඇවිත්', 'හොරුන්ගෙන්', 'වෙඩි', 'කනවා', 'ගුටි', 'කනවා']"
35,58,"['මෙලෝ', 'රහක්', 'නැති', 'උන්', 'ඉන්න', 'ටවුන්', 'එකක්', '...']",1,"['මෙලෝ', 'රහක්', 'නැති', 'උන්', 'ඉන්න', 'ටවුන්', 'එකක්']"
36,59,"['මන්නම්', 'කියන්නෙ', 'පොලිසියෙ', 'උන්නැහැලා', 'ටිකටත්', 'stf', 'පුහුණුවක්', 'අවශයයි..මොකද', 'හොරාට', 'පන්න', 'ගන්න', 'බැ', '...', 'මොලෙ', 'පාවිච්චි', 'කරලා', 'හොරා', 'කොටු', 'කරගන්නෙ', 'නැ', '...', 'ගොන්', 'වැඩ', 'ගොඩක්', 'තියෙනව..']",1,"['මන්නම්', 'කියන්නෙ', 'පොලිසියෙ', 'උන්නැහැලා', 'ටිකටත්', 'පුහුණුවක්', 'අවශයයි..මොකද', 'හොරාට', 'පන්න', 'ගන්න', 'බැ', 'මොලෙ', 'පාවිච්චි', 'කරලා', 'හොරා', 'කොටු', 'කරගන්නෙ', 'නැ', 'ගොන්', 'වැඩ', 'ගොඩක්', 'තියෙනව..']"
37,60,"['කතා', 'කරෝත්', 'මහ', 'ලොකුවට', 'අපි.දකුණේ..කෝන්දක්', 'තීයන1', 'කේනේක්', 'නෑ', 'පොලිසිය', 'අයියව', '..උස්සන්න..ඔය', 'උස්සපු', 'අයියා', 'විතරයි..පිරිමි', 'යේක්', 'කියලා', '.']",1,"['කතා', 'කරෝත්', 'මහ', 'ලොකුවට', 'අපි.දකුණේ..කෝන්දක්', 'තීයන1', 'කේනේක්', 'නෑ', 'පොලිසිය', 'අයියව', '..උස්සන්න..ඔය', 'උස්සපු', 'අයියා', 'විතරයි..පිරිමි', 'යේක්', 'කියලා']"
38,61,"['මමනං', 'දැක්කේ..අනිත්', 'ඔක්කෝම', 'පිරිමී', '..අපි..අදින', 'ගවුම්', 'වලට', 'වඩා..හෝද', 'නයිටි', 'ටිකක්', 'ඇදගන්න', '...', 'ලැජ්ජයි', 'මට', 'නම්', 'මාතර', 'අයට', 'පිරිමි', 'කියන්න', '...', '.දැක්ක', 'හොදම', 'නපුංසකයෝ', 'නම්', 'මාතර', 'තමා', '...', '.අනේ', 'ප්ලීස්..ඔය', 'මංකොල්ල', 'කාරයෝ', '.']",1,"['මමනං', 'දැක්කේ..අනිත්', 'ඔක්කෝම', 'පිරිමී', '..අපි..අදින', 'ගවුම්', 'වලට', 'වඩා..හෝද', 'නයිටි', 'ටිකක්', 'ඇදගන්න', 'ලැජ්ජයි', 'මට', 'නම්', 'මාතර', 'අයට', 'පිරිමි', 'කියන්න', '.දැක්ක', 'හොදම', 'නපුංසකයෝ', 'නම්', 'මාතර', 'තමා', '.අනේ', 'ප්ලීස්..ඔය', 'මංකොල්ල', 'කාරයෝ']"
39,62,"['ඔක්කෝම', '.කෝහෝම', 'හරි', '...', 'වෙඩිතියල', 'මරලා', 'දාන්න..පොලිස්පති', 'තුමනි..අයේත්', 'මේවැනි', 'දේ', 'නොවෙන්න', '...', '.']",1,"['ඔක්කෝම', '.කෝහෝම', 'හරි', 'වෙඩිතියල', 'මරලා', 'දාන්න..පොලිස්පති', 'තුමනි..අයේත්', 'මේවැනි', 'දේ', 'නොවෙන්න']"
40,63,"['මව්', 'බිම', 'නැති', 'නම්', 'මරණය', '...', '.මෙයයි', 'තේමා', 'පාටය', 'විය', 'යුත්තේ', '...', 'ඔය', 'පෝන්', 'කෝල්', 'වලට', 'බයේ', 'රාජකාරි', 'කරන', 'කාලය', 'ඇත', 'හැරි', 'යුතුයි', '.']",1,"['මව්', 'බිම', 'නැති', 'නම්', 'මරණය', '.මෙයයි', 'තේමා', 'පාටය', 'විය', 'යුත්තේ', 'ඔය', 'පෝන්', 'කෝල්', 'වලට', 'බයේ', 'රාජකාරි', 'කරන', 'කාලය', 'ඇත', 'හැරි', 'යුතුයි']"
41,66,"['තුවක්කුවක්', 'නැත්තං', 'පැත්තකට', 'වෙලා', 'ඉදපංකො', 'විහිං', 'මැරැම්කන්නැතිව.තුවක්කු', 'තියං', 'ඉන්න', 'මංකොලල', 'කාරයන්ට', 'බැටන්පොල්ලෙන්', 'ගහන්න', 'ගියාම', 'මැරැංකන', 'එක', 'අහන්නත්', 'දෙයක්ද.මේක', 'මහ', 'මෝඩයෙක්']",1,"['තුවක්කුවක්', 'නැත්තං', 'පැත්තකට', 'වෙලා', 'ඉදපංකො', 'විහිං', 'මැරැම්කන්නැතිව.තුවක්කු', 'තියං', 'ඉන්න', 'මංකොලල', 'කාරයන්ට', 'බැටන්පොල්ලෙන්', 'ගහන්න', 'ගියාම', 'මැරැංකන', 'එක', 'අහන්නත්', 'දෙයක්ද.මේක', 'මහ', 'මෝඩයෙක්']"
42,67,"['Ashi', 'Hashi', 'ඔවාට', 'දකුණේ', 'එකෙක්', 'ඒක', 'කෙලින්', 'කියන්න', 'වෙන', 'වෙන', 'සීන්', 'ගැන', 'කියල', 'මඩ', 'ගහන්නෙ', 'නැතුව']",1,"['ඔවාට', 'දකුණේ', 'එකෙක්', 'ඒක', 'කෙලින්', 'කියන්න', 'වෙන', 'වෙන', 'සීන්', 'ගැන', 'කියල', 'මඩ', 'ගහන්නෙ', 'නැතුව']"
43,69,"['මත්ද්\u200dරව්\u200dයවලට', 'ඇබ්බැහි', 'වෙලා', 'මිනිස්සු', 'මරලා', 'හරි', 'සල්ලි', 'ඔිිනි', 'පොලිසියට', 'පෙර', 'පුහුණුවක්', 'නැති', 'විම', 'පුජිත', 'දේසපාලකන්ගේ', 'කකුල්', 'ලේවකනවා', 'කොල්ලා', 'නිකන්', 'මැරැැනා']",1,"['මත්ද්\u200dරව්\u200dයවලට', 'ඇබ්බැහි', 'වෙලා', 'මිනිස්සු', 'මරලා', 'හරි', 'සල්ලි', 'ඔිිනි', 'පොලිසියට', 'පෙර', 'පුහුණුවක්', 'නැති', 'විම', 'පුජිත', 'දේසපාලකන්ගේ', 'කකුල්', 'ලේවකනවා', 'කොල්ලා', 'නිකන්', 'මැරැැනා']"
44,70,"['යකෝ', 'හරිහමන්', 'තුවක්කුවක්', 'දෙන්න', 'බැරිද', 'බන්..', 'ඇමති', 'අයගේ', 'වාහන', 'වලට', 'කෝටි', 'ප්\u200dරකෝටි', 'ගනන්', 'නාස්ති', 'කරනවා', 'ඕන', 'දේකට', 'වියදම්', 'කරන්නේ', 'නෑ', '...']",1,"['යකෝ', 'හරිහමන්', 'තුවක්කුවක්', 'දෙන්න', 'බැරිද', 'බන්..', 'ඇමති', 'අයගේ', 'වාහන', 'වලට', 'කෝටි', 'ප්\u200dරකෝටි', 'ගනන්', 'නාස්ති', 'කරනවා', 'ඕන', 'දේකට', 'වියදම්', 'කරන්නේ', 'නෑ']"
